x,y,z
333.45,4042.4,7400
927.56,4304.5,7400
1530.2,4477,7400
2116.4,4671.8,7400
2645.4,4911.4,7400
3328.9,5248.3,7400
3996.3,5518,7400
4452,5727.7,7400
2275,5725.4,7400
310,5723.4,7400
264.92,4819.4,7400
150,4048.742135,7400
150,2525.3,7300
150,5772.656867,7400
4534.266055,5788.653489,7400
305.83,2869.3,7200
883.65,3124,7200
1486.3,3303.9,7200
2276,3581.1,7200
2943,3955.4,7200
3520.3,4337,7200
3870.3,4471.9,7200
4734.4,4525.1,7200
5679.5,4690.4,7200
6404.2,4930.2,7200
6949,5274.5,7200
7154.06422,5368.583991,7200
7142.868502,5752.758996,7200
2175.7,2228.7,7000
2516.9,2535.4,7000
3012.7,2894.5,7000
3427.2,3216.2,7000
3727.3,3590.1,7000
4338.2,3747.6,7000
4763.6,3411.8,7000
5083.2,3023.7,7000
5354.3,2545.8,7000
5591,2486.2,7000
5818.3,2740.5,7000
6167.5,3062.1,7000
6639.2,3346.5,7000
6980.8,3556.1,7000
7120.477064,3605.204898,7000
3676.6,2095.8,6800
3977,2402.4,6800
4335.4,2484.9,6800
4630,2216.3,6800
4924.8,1932.7,6800
5406.1,1865.9,6800
5935.2,2083.1,6800
6546,2263.1,6800
7238.3,2443.1,6800
7433.957187,2502.311586,6800
4881.6,587.76,6600
5288.1,872.09,6600
5825.1,1126.7,6600
6248.3,1313.9,6600
6235,604.08,6600
6229.3,36.25,6600
5275.3,42.748,6600
5281.3,550.81,6600
7086.889908,1408.3806,6600